pmid	annotator	start_idx	end_idx	location	text_span	label
31069065	student_A	445	466	abstract	<i>in vitro</i> models	biomedical technique
31069065	student_A	514	516	abstract	CNS	anatomical location
31069065	student_A	693	704	abstract	pharmacology	biomedical technique
31069065	student_A	707	724	abstract	time-lapse imaging	biomedical technique
31069065	student_A	731	750	abstract	immunological assays	biomedical technique
31069065	student_A	927	956	abstract	disease-relevant myelin debris	DDF
31069065	student_A	962	999	abstract	pathogen associated molecular patterns	chemical
31069065	student_A	1002	1006	abstract	PAMPs	chemical
31069065	student_A	1053	1057	abstract	siRNA	biomedical technique
31069065	student_A	1273	1300	abstract	semi-high throughput screens	biomedical technique
31069065	student_A	1463	1482	abstract	<i>in vitro</i> tool	biomedical technique
31069065	student_A	1549	1560	abstract	white matter	anatomical location
31069065	student_A	1581	1601	abstract	therapeutic molecules	chemical
31069065	student_A	1640	1657	abstract	multiple sclerosis	DDF
31069065	student_A	1660	1679	abstract	motor neuron disease	DDF
31069065	student_A	1684	1701	abstract	spinal cord injury	DDF
31069065	student_A	1720	1744	abstract	<i>in vivo</i> approaches	biomedical technique


28937600	student_A	4	50	title	Gut Microbial Metabolite Trimethylamine-N-Oxide	chemical
28937600	student_A	66	90	title	Human Cerebrospinal Fluid	anatomical location
28937600	student_A	0	28	abstract	Trimethylamine-<i>N</i>-oxide	chemical
28937600	student_A	31	34	abstract	TMAO	chemical
28937600	student_A	120	134	abstract	dietary choline	chemical
28937600	student_A	140	148	abstract	carnitine	chemical
28937600	student_A	179	182	abstract	TMAO	chemical
28937600	student_A	209	224	abstract	chronic diseases	DDF
28937600	student_A	295	316	abstract	central nervous system	anatomical location
28937600	student_A	383	386	abstract	TMAO	chemical
28937600	student_A	423	447	abstract	human cerebrospinal fluid	anatomical location
28937600	student_A	450	452	abstract	CSF	anatomical location
28937600	student_A	456	458	abstract	CSF	anatomical location
28937600	student_A	506	513	abstract	subjects	human
28937600	student_A	518	532	abstract	lumbar puncture	biomedical technique
28937600	student_A	538	541	abstract	TMAO	chemical
28937600	student_A	567	587	abstract	liquid chromatography	biomedical technique
28937600	student_A	602	647	abstract	multiple-reaction monitoring mass spectrometry	biomedical technique
28937600	student_A	800	807	abstract	subjects	human
28937600	student_A	826	844	abstract	Alzheimer's disease	DDF
28937600	student_A	847	848	abstract	AD	DDF
28937600	student_A	872	894	abstract	non-AD related dementia	DDF
28937600	student_A	927	948	abstract	neurological disorders	DDF
28937600	student_A	982	985	abstract	TMAO	chemical
28937600	student_A	1132	1135	abstract	TMAO	chemical
28937600	student_A	1156	1164	abstract	human CSF	anatomical location
28937600	student_A	1246	1267	abstract	central nervous system	anatomical location


39213074	student_A	15	28	title	Gut Microbiota	microbiome
39213074	student_A	33	52	title	Older Chinese Adults	human
39213074	student_A	59	78	title	Cognitive Impairment	DDF
39213074	student_A	0	19	abstract	Cognitive impairment	DDF
39213074	student_A	78	85	abstract	dementia	DDF
39213074	student_A	92	110	abstract	Alzheimer's disease	DDF
39213074	student_A	137	156	abstract	cognitive impairment	DDF
39213074	student_A	162	175	abstract	gut microbiota	microbiome
39213074	student_A	291	310	abstract	cognitive impairment	DDF
39213074	student_A	334	339	abstract	cohort	human
39213074	student_A	344	355	abstract	older adults	human
39213074	student_A	382	402	abstract	adults aged ≥60 years	human
39213074	student_A	473	484	abstract	Participants	human
39213074	student_A	504	523	abstract	cognitive impairment	DDF
39213074	student_A	526	527	abstract	CI	DDF
39213074	student_A	603	631	abstract	Mini-Mental State Examination	biomedical technique
39213074	student_A	634	651	abstract	Diversity analysis	biomedical technique
39213074	student_A	657	672	abstract	network analysis	biomedical technique
39213074	student_A	704	717	abstract	gut microbiota	microbiome
39213074	student_A	747	793	abstract	linear discriminant analysis effect size method	statistical technique
39213074	student_A	971	1010	abstract	Transformation-based redundancy analysis	biomedical technique
39213074	student_A	1013	1018	abstract	tb-RDA	statistical technique
39213074	student_A	1036	1050	abstract	CI participants	human
39213074	student_A	1060	1075	abstract	NCI participants	human
39213074	student_A	1098	1105	abstract	analysis	biomedical technique
39213074	student_A	1112	1119	abstract	CI group	human
39213074	student_A	1168	1176	abstract	NCI group	human
39213074	student_A	1291	1298	abstract	CI group	human
39213074	student_A	1324	1332	abstract	NCI group	human
39213074	student_A	1343	1351	abstract	Megamonas	bacteria
39213074	student_A	1354	1360	abstract	Blautia	bacteria
39213074	student_A	1363	1373	abstract	Pseudomonas	bacteria
39213074	student_A	1376	1391	abstract	Stenotrophomonas	bacteria
39213074	student_A	1398	1408	abstract	Veillonella	bacteria
39213074	student_A	1434	1435	abstract	CI	DDF
39213074	student_A	1442	1447	abstract	tb-RDA	statistical technique
39213074	student_A	1535	1543	abstract	Megamonas	bacteria
39213074	student_A	1546	1552	abstract	Blautia	bacteria
39213074	student_A	1559	1569	abstract	Veillonella	bacteria
39213074	student_A	1631	1655	abstract	beneficial gut microbiota	microbiome
39213074	student_A	1660	1679	abstract	older Chinese adults	human
39213074	student_A	1686	1705	abstract	cognitive impairment	DDF


37711026	student_A	24	37	title	gut microbiome	microbiome
37711026	student_A	42	81	title	early-stage Parkinson's disease patients	human
37711026	student_A	18	36	abstract	Parkinson's disease	DDF
37711026	student_A	39	40	abstract	PD	DDF
37711026	student_A	91	108	abstract	elderly population	human
37711026	student_A	111	112	abstract	PD	DDF
37711026	student_A	164	189	abstract	gut microbiome composition	microbiome
37711026	student_A	269	279	abstract	PD patients	human
37711026	student_A	285	292	abstract	controls	human
37711026	student_A	341	366	abstract	gut microbiome composition	microbiome
37711026	student_A	509	520	abstract	constipation	DDF
37711026	student_A	601	646	abstract	semi-quantitative food frequency questionnaire	biomedical technique
37711026	student_A	923	940	abstract	independent t-test	statistical technique
37711026	student_A	984	991	abstract	patients	human
37711026	student_A	997	1004	abstract	controls	human
37711026	student_A	1009	1023	abstract	chi-square test	biomedical technique
37711026	student_A	1110	1119	abstract	PD patient	human
37711026	student_A	1125	1138	abstract	control groups	human
37711026	student_A	1172	1179	abstract	patients	human
37711026	student_A	1195	1207	abstract	saturated fat	food
37711026	student_A	1221	1228	abstract	controls	human
37711026	student_A	1318	1331	abstract	gut microbiome	microbiome
37711026	student_A	1350	1360	abstract	PD patients	human
37711026	student_A	1366	1373	abstract	controls	human
37711026	student_A	1379	1391	abstract	Lactobacillus	bacteria
37711026	student_A	1404	1418	abstract	Bifidobacterium	bacteria
37711026	student_A	1452	1462	abstract	PD patients	human
37711026	student_A	1468	1482	abstract	Prevotella VZCB	bacteria
37711026	student_A	1501	1516	abstract	Faecalibacterium	bacteria
37711026	student_A	1544	1551	abstract	controls	human
37711026	student_A	1581	1591	abstract	PD patients	human


34864433	student_A	50	76	title	normocaloric ketogenic diet	food
34864433	student_A	81	86	title	people	human
34864433	student_A	93	121	title	amyotrophic lateral sclerosis	DDF
34864433	student_A	53	79	abstract	normocaloric ketogenic diet	food
34864433	student_A	82	83	abstract	KD	food
34864433	student_A	89	94	abstract	people	human
34864433	student_A	101	129	abstract	amyotrophic lateral sclerosis	DDF
34864433	student_A	132	134	abstract	ALS	DDF
34864433	student_A	190	206	abstract	neuroinflammation	DDF
34864433	student_A	265	267	abstract	men	human
34864433	student_A	273	277	abstract	women	human
34864433	student_A	294	296	abstract	ALS	DDF
34864433	student_A	377	378	abstract	KD	food
34864433	student_A	383	388	abstract	people	human
34864433	student_A	395	397	abstract	ALS	DDF
34864433	student_A	453	519	abstract	Revised Amyotrophic Lateral Sclerosis Functional Rating Scale score	biomedical technique
34864433	student_A	549	602	abstract	Amyotrophic Lateral Sclerosis Assessment Questionnaire	biomedical technique
34864433	student_A	656	667	abstract	participants	human
34864433	student_A	685	686	abstract	KD	food
34864433	student_A	742	753	abstract	participants	human
34864433	student_A	991	995	abstract	death	DDF
34864433	student_A	1210	1221	abstract	malnutrition	DDF
34864433	student_A	1264	1266	abstract	ALS	DDF
34864433	student_A	1431	1432	abstract	KD	food
34864433	student_A	1437	1442	abstract	people	human
34864433	student_A	1444	1446	abstract	ALS	DDF


39183943	student_A	100	106	title	disease	DDF
39183943	student_A	4	13	abstract	microbiome	microbiome
39183943	student_A	102	130	abstract	Alterations of the microbiome	DDF
39183943	student_A	133	141	abstract	dysbiosis	DDF
39183943	student_A	199	228	abstract	differential abundance testing	statistical technique
39183943	student_A	242	267	abstract	healthy and patient groups	human
39183943	student_A	304	311	abstract	bacteria	bacteria
39183943	student_A	355	362	abstract	bacteria	bacteria
39183943	student_A	370	379	abstract	individual	human
39183943	student_A	424	458	abstract	fecal microbiota transplant therapy	biomedical technique
39183943	student_A	478	487	abstract	microbiome	microbiome
39183943	student_A	494	511	abstract	healthy individual	human
39183943	student_A	578	585	abstract	bacteria	bacteria
39183943	student_A	759	766	abstract	bacteria	bacteria
39183943	student_A	789	795	abstract	disease	DDF
39183943	student_A	868	875	abstract	patients	human
39183943	student_A	882	899	abstract	multiple sclerosis	DDF
39183943	student_A	902	903	abstract	MS	DDF
39183943	student_A	909	933	abstract	neurodegenerative disease	DDF
39183943	student_A	947	970	abstract	dysbiotic gut microbiome	microbiome
39183943	student_A	1002	1009	abstract	bacteria	bacteria
39183943	student_A	1027	1028	abstract	MS	DDF
39183943	student_A	1122	1151	abstract	differential abundance testing	statistical technique
39183943	student_A	1205	1214	abstract	microbiome	microbiome
39183943	student_A	1278	1305	abstract	differential abundance tests	statistical technique
39183943	student_A	1344	1357	abstract	gut microbiome	microbiome
39183943	student_A	1373	1379	abstract	disease	DDF


29758946	student_A	0	13	title	Gut Microbiota	microbiome
29758946	student_A	29	36	title	Patients	human
29758946	student_A	43	61	title	Alzheimer's Disease	DDF
29758946	student_A	30	43	abstract	gut microbiota	microbiome
29758946	student_A	64	89	abstract	neuropsychiatric disorders	DDF
29758946	student_A	100	118	abstract	Parkinson's disease	DDF
29758946	student_A	121	149	abstract	amyotrophic lateral sclerosis	DDF
29758946	student_A	156	165	abstract	depression	DDF
29758946	student_A	218	231	abstract	gut microbiota	microbiome
29758946	student_A	247	254	abstract	patients	human
29758946	student_A	261	279	abstract	Alzheimer's disease	DDF
29758946	student_A	282	283	abstract	AD	DDF
29758946	student_A	368	378	abstract	AD patients	human
29758946	student_A	440	477	abstract	16S ribosomal RNA sequencing technique	biomedical technique
29758946	student_A	555	568	abstract	gut microbiota	microbiome
29758946	student_A	633	643	abstract	AD patients	human
29758946	student_A	712	722	abstract	Bacteroides	bacteria
29758946	student_A	725	738	abstract	Actinobacteria	bacteria
29758946	student_A	741	752	abstract	Ruminococcus	bacteria
29758946	student_A	755	769	abstract	Lachnospiraceae	bacteria
29758946	student_A	776	790	abstract	Selenomonadales	bacteria
29758946	student_A	819	832	abstract	gut microbiota	microbiome
29758946	student_A	848	858	abstract	AD patients	human
29758946	student_A	903	904	abstract	AD	DDF


38827616	student_A	15	30	title	mental disorders	DDF
38827616	student_A	37	42	title	sepsis	DDF
38827616	student_A	63	78	abstract	mental disorders	DDF
38827616	student_A	84	89	abstract	sepsis	DDF
38827616	student_A	149	170	abstract	psychological disorder	DDF
38827616	student_A	176	181	abstract	sepsis	DDF
38827616	student_A	251	266	abstract	mental disorders	DDF
38827616	student_A	272	277	abstract	sepsis	DDF
38827616	student_A	313	328	abstract	mental disorders	DDF
38827616	student_A	341	356	abstract	anorexia nervosa	DDF
38827616	student_A	359	360	abstract	AN	DDF
38827616	student_A	364	403	abstract	attention-deficit hyperactivity disorder	DDF
38827616	student_A	406	409	abstract	ADHD	DDF
38827616	student_A	413	436	abstract	autism spectrum disorder	DDF
38827616	student_A	439	441	abstract	ASD	DDF
38827616	student_A	445	460	abstract	bipolar disorder	DDF
38827616	student_A	463	464	abstract	BD	DDF
38827616	student_A	468	492	abstract	major depressive disorder	DDF
38827616	student_A	495	497	abstract	MDD	DDF
38827616	student_A	501	529	abstract	obsessive-compulsive disorder	DDF
38827616	student_A	532	534	abstract	OCD	DDF
38827616	student_A	538	551	abstract	panic disorder	DDF
38827616	student_A	554	555	abstract	PD	DDF
38827616	student_A	559	587	abstract	posttraumatic stress disorder	DDF
38827616	student_A	590	593	abstract	PTSD	DDF
38827616	student_A	597	609	abstract	schizophrenia	DDF
38827616	student_A	612	614	abstract	SCZ	DDF
38827616	student_A	622	638	abstract	tourette syndrome	DDF
38827616	student_A	641	642	abstract	TS	DDF
38827616	student_A	762	777	abstract	mental disorders	DDF
38827616	student_A	783	788	abstract	sepsis	DDF
38827616	student_A	817	852	abstract	two-sample bidirectional MR strategy	statistical technique
38827616	student_A	859	896	abstract	inverse variance weighted (IVW) method	statistical technique
38827616	student_A	941	960	abstract	sensitivity analyses	statistical technique
38827616	student_A	1023	1035	abstract	Meta-analysis	statistical technique
38827616	student_A	1038	1053	abstract	multivariable MR	statistical technique
38827616	student_A	1060	1071	abstract	mediation MR	statistical technique
38827616	student_A	1158	1159	abstract	AN	DDF
38827616	student_A	1204	1209	abstract	sepsis	DDF
38827616	student_A	1260	1272	abstract	meta-analysis	statistical technique
38827616	student_A	1384	1399	abstract	mental disorders	DDF
38827616	student_A	1430	1435	abstract	sepsis	DDF
38827616	student_A	1515	1516	abstract	AN	DDF
38827616	student_A	1600	1617	abstract	Mediation analysis	biomedical technique
38827616	student_A	1857	1865	abstract	AN-sepsis	DDF
38827616	student_A	1898	1933	abstract	two-sample bidirectional MR analysis	statistical technique
38827616	student_A	1949	1966	abstract	mental disorder AN	DDF
38827616	student_A	2025	2030	abstract	sepsis	DDF
38827616	student_A	2224	2232	abstract	AN-sepsis	DDF
38827616	student_A	2320	2333	abstract	mental illness	DDF
38827616	student_A	2339	2344	abstract	sepsis	DDF


39027090	student_A	0	25	abstract	Maternal immune activation	DDF
39027090	student_A	28	30	abstract	MIA	DDF
39027090	student_A	37	60	abstract	prenatal maternal stress	DDF
39027090	student_A	63	66	abstract	MatS	DDF
39027090	student_A	103	124	abstract	psychiatric conditions	DDF
39027090	student_A	134	139	abstract	autism	DDF
39027090	student_A	145	157	abstract	schizophrenia	DDF
39027090	student_A	193	206	abstract	gut microbiome	microbiome
39027090	student_A	333	347	abstract	adult offspring	human
39027090	student_A	401	426	abstract	maternal immune activation	DDF
39027090	student_A	432	455	abstract	prenatal maternal stress	DDF
39027090	student_A	518	525	abstract	children	human
39027090	student_A	533	552	abstract	shotgun metagenomics	biomedical technique
39027090	student_A	591	598	abstract	children	human
39027090	student_A	615	620	abstract	autism	DDF
39027090	student_A	632	639	abstract	siblings	human
39027090	student_A	675	692	abstract	unrelated children	human
39027090	student_A	807	818	abstract	MIA exposure	DDF
39027090	student_A	870	885	abstract	asthma/allergies	DDF
39027090	student_A	950	971	abstract	auto-immune conditions	DDF
39027090	student_A	978	995	abstract	acute inflammation	DDF
39027090	student_A	998	1012	abstract	Maternal stress	DDF
39027090	student_A	1163	1170	abstract	children	human
39027090	student_A	1203	1209	abstract	mothers	human
39027090	student_A	1216	1218	abstract	MIA	DDF
39027090	student_A	1246	1252	abstract	mothers	human
39027090	student_A	1270	1284	abstract	maternal stress	DDF
39027090	student_A	1377	1406	abstract	shotgun metagenomic sequencing	biomedical technique
39027090	student_A	1457	1459	abstract	MIA	DDF
39027090	student_A	1470	1473	abstract	MatS	DDF
39027090	student_A	1496	1498	abstract	ASD	DDF
39027090	student_A	1501	1527	abstract	Variance component analysis	statistical technique
39027090	student_A	1609	1611	abstract	MIA	DDF
39027090	student_A	1617	1620	abstract	MatS	DDF
39027090	student_A	1662	1667	abstract	autism	DDF
39027090	student_A	1892	1897	abstract	cohort	human
39027090	student_A	1924	1953	abstract	Faecalibacterium prausnitzii E	bacteria
39027090	student_A	1990	2001	abstract	MIA children	human
39027090	student_A	2064	2071	abstract	children	human
39027090	student_A	2090	2096	abstract	mothers	human
39027090	student_A	2103	2105	abstract	MIA	DDF
39027090	student_A	2145	2150	abstract	autism	DDF
39027090	student_A	2242	2244	abstract	MIA	DDF
39027090	student_A	2250	2264	abstract	maternal stress	DDF


39466764	student_A	11	31	title	Artemisia asiatica ex	drug
39466764	student_A	36	58	title	Akkermansia muciniphila	bacteria
39466764	student_A	88	106	title	Alzheimer's disease	DDF
39466764	student_A	111	114	title	mice	animal
39466764	student_A	4	17	abstract	gut microbiome	microbiome
39466764	student_A	30	51	abstract	neurological disorders	DDF
39466764	student_A	101	103	abstract	gut	anatomical location
39466764	student_A	113	117	abstract	brain	anatomical location
39466764	student_A	146	166	abstract	Artemisia asiatica ex	drug
39466764	student_A	183	206	abstract	Artemisia asiatica Nakai	drug
39466764	student_A	219	225	abstract	DA-9601	drug
39466764	student_A	257	266	abstract	depression	DDF
39466764	student_A	282	313	abstract	brain-derived neurotropic factor	chemical
39466764	student_A	348	354	abstract	DA-9601	drug
39466764	student_A	401	419	abstract	Alzheimer's disease	DDF
39466764	student_A	422	423	abstract	AD	DDF
39466764	student_A	476	486	abstract	Tg2576 mice	animal
39466764	student_A	522	523	abstract	AD	DDF
39466764	student_A	526	539	abstract	wild type mice	animal
39466764	student_A	550	556	abstract	AD mice	animal
39466764	student_A	571	598	abstract	DA-9601-administered AD mice	animal
39466764	student_A	831	837	abstract	DA-9601	drug
39466764	student_A	874	877	abstract	mice	animal
39466764	student_A	929	953	abstract	amyloid beta accumulation	chemical
39466764	student_A	1006	1010	abstract	Iba-1	chemical
39466764	student_A	1032	1040	abstract	claudin-5	chemical
39466764	student_A	1064	1071	abstract	occludin	chemical
39466764	student_A	1197	1219	abstract	Akkermansia muciniphila	bacteria
39466764	student_A	1251	1272	abstract	DA-9601 administration	drug
39466764	student_A	1303	1309	abstract	DA-9601	drug
39466764	student_A	1320	1331	abstract	AD pathology	DDF
39466764	student_A	1338	1360	abstract	Akkermansia muciniphila	bacteria
39466764	student_A	1379	1392	abstract	gut microbiome	microbiome
39466764	student_A	1414	1415	abstract	AD	DDF
39466764	student_A	1433	1439	abstract	DA-9601	drug
39466764	student_A	1452	1453	abstract	AD	DDF


38490542	student_A	81	91	title	lactoferrin	chemical
38490542	student_A	128	147	title	ulcerative enteritis	DDF
38490542	student_A	42	60	abstract	Alzheimer's disease	DDF
38490542	student_A	63	64	abstract	AD	DDF
38490542	student_A	129	130	abstract	AD	DDF
38490542	student_A	300	310	abstract	lactoferrin	chemical
38490542	student_A	313	314	abstract	LF	chemical
38490542	student_A	338	339	abstract	AD	DDF
38490542	student_A	345	362	abstract	ulcerative colitis	DDF
38490542	student_A	365	366	abstract	UC	DDF
38490542	student_A	392	393	abstract	AD	DDF
